city,state,latitude,longitude,population,msa,new_msa
hundested,capital region,55.96397,11.85044,8660,,denmark__capital region__copenhagen__MSA
dronninglund,north denmark,57.16035,10.29287,3435,,denmark__north denmark__aalborg__MSA
svenstrup,north denmark,56.9723,9.84806,7558,,denmark__north denmark__aalborg__MSA
skovlunde,hovedstaden,55.7157,12.398,0,,denmark__capital region__copenhagen__MSA
gilleleje,capital region,56.12196,12.31056,6662,,denmark__capital region__copenhagen__MSA
christiansfeld,south denmark,55.35817,9.48701,2709,,denmark__south denmark__odense__MSA
hammel,central jutland,56.25762,9.86316,6927,,denmark__central jutland__arhus__MSA
skælskør,zealand,55.25058,11.29352,6455,,denmark__south denmark__odense__MSA
dianalund,zealand,55.53133,11.4925,3605,,denmark__capital region__copenhagen__MSA
farsø,north denmark,56.77276,9.33925,3369,,denmark__north denmark__aalborg__MSA
solrød strand,zealand,55.53285,12.22227,14845,,denmark__capital region__copenhagen__MSA
børkop,south denmark,55.64195,9.64958,3561,,denmark__central jutland__arhus__MSA
karlslunde,sjaelland,55.5726,12.2258,0,,denmark__capital region__copenhagen__MSA
værløse,capital region,55.78251,12.36856,13022,,denmark__capital region__copenhagen__MSA
birkerød,capital region,55.84759,12.42791,20908,,denmark__capital region__copenhagen__MSA
galten,central jutland,56.15902,9.91691,4895,,denmark__central jutland__arhus__MSA
lystrup,central jutland,56.49839,10.46887,10392,,denmark__central jutland__arhus__MSA
frederiksværk,capital region,55.97073,12.0225,12176,,denmark__capital region__copenhagen__MSA
videbæk,central jutland,56.0876,8.62852,4231,,denmark__south denmark__esbjerg__MSA
tilst,midtjylland,56.1913,10.122,0,,denmark__central jutland__arhus__MSA
tølløse,zealand,55.6125,11.77034,3763,,denmark__capital region__copenhagen__MSA
taulov,south denmark,55.54582,9.61553,3354,,denmark__central jutland__arhus__MSA
stege,zealand,54.98704,12.28461,3881,,denmark__capital region__copenhagen__MSA
padborg,south denmark,54.82657,9.36247,4311,,denmark__south denmark__padborg__MSA
ribe,south denmark,55.33051,8.76966,8287,,denmark__south denmark__esbjerg__MSA
